Title,Status,Rating,Genre,Image URL
Son of the Hero King,Ongoing,4.3 (56),"['Action', 'Fantasy', 'Harem', 'Mature', 'Ecchi', 'Comedy', 'Supernatural', 'Adult', 'Smut']",https://static.lightnovelhub.org/bookcover/300x400/01467-son-of-the-hero-king.jpg?v=15040942
The Martial Unity,Ongoing,4.3 (56),"['Action', 'Adventure', 'Fantasy', 'Martial Arts']",https://static.lightnovelhub.org/bookcover/300x400/01509-the-martial-unity.jpg
The Damned Demon,Ongoing,4.3 (53),"['Action', 'Adventure', 'Fantasy', 'Harem']",https://static.lightnovelhub.org/bookcover/300x400/01498-the-damned-demon.jpg
Sword God in a World of Magic,Completed,4.2 (340),"['Action', 'Adventure', 'Fantasy']",https://static.lightnovelhub.org/bookcover/300x400/01377-sword-god-in-a-world-of-magic.jpg
I Will Kill The Author,Ongoing,4.2 (142),"['Action', 'Adventure', 'Fantasy', 'Romance']",https://static.lightnovelhub.org/bookcover/300x400/01526-i-will-kill-the-author.jpg?v=31100557
Warlock of the Magus World (WN),Completed,4.2 (126),"['Action', 'Adventure', 'Fantasy', 'Harem', 'Mature', 'Mystery', 'Supernatural', 'Psychological', 'Sci-fi']",https://static.lightnovelhub.org/bookcover/300x400/00089-wujie-whushi-wmw.jpg
Dual Cultivation (WN),Ongoing,4.2 (113),"['Action', 'Adventure', 'Harem', 'Martial Arts', 'Mature', 'Romance', 'Xuanhuan', 'Comedy', 'Adult', 'Eastern Fantasy']",https://static.lightnovelhub.org/bookcover/300x400/00380-dual-cultivation-ln.jpg
The Reincarnated Assassin is a Genius Swordsman,Ongoing,4.2 (89),"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Supernatural']",https://static.lightnovelhub.org/bookcover/300x400/01479-the-reincarnated-assassin-is-a-genius-swordsman.jpg
From Thug to Idol: Transmigrating to a Survival Show,Ongoing,4.2 (55),"['Fantasy', 'Comedy']",https://static.lightnovelhub.org/bookcover/300x400/01643-from-thug-to-idol-transmigrating-to-a-survival-show.jpg
Fantasy Simulator,Completed,4.2 (51),"['Adventure', 'Drama', 'Fantasy', 'Martial Arts', 'Xuanhuan', 'Supernatural']",https://static.lightnovelhub.org/bookcover/300x400/01166-fantasy-simulator.jpg
Cultivation Online,Ongoing,4.1 (269),"['Action', 'Adventure', 'Harem', 'Romance', 'Video Games']",https://static.lightnovelhub.org/bookcover/300x400/01113-cultivation-online.jpg
Infinite Mana In The Apocalypse (WN),Ongoing,4.1 (142),"['Action', 'Adventure', 'Fantasy', 'Video Games']",https://static.lightnovelhub.org/bookcover/300x400/00732-infinite-mana-in-the-apocalypse-novel.jpg
Astral Pet Store (WN),Completed,4.1 (99),"['Action', 'Adventure', 'Fantasy', 'Xuanhuan', 'Comedy', 'School Life']",https://static.lightnovelhub.org/bookcover/300x400/00583-astral-pet-store-novel.jpg
Tales Of The World Devouring Serpent,Completed,4.1 (71),"['Action', 'Adventure', 'Fantasy', 'Mature', 'Mystery', 'Supernatural', 'Sci-fi']",https://static.lightnovelhub.org/bookcover/300x400/01031-tales-of-the-world-devouring-serpent.jpg
Getting a Technology System in Modern Day,Ongoing,4.1 (55),"['Action', 'Romance', 'Slice of Life', 'Sci-fi', 'Wuxia']",https://static.lightnovelhub.org/bookcover/300x400/01622-getting-a-technology-system-in-modern-day.jpg?v=26070341
My Girlfriend From Turquoise Pond Requests My Help After My Millennium Seclusion,Completed,4.1 (51),"['Action', 'Fantasy', 'Martial Arts', 'Romance', 'Xuanhuan']",https://static.lightnovelhub.org/bookcover/300x400/01312-my-girlfriend-from-turquoise-pond-requests-my-help-after-my-millennium-seclusion.jpg
The Primal Hunter,Ongoing,4.0 (164),"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Psychological']",https://static.lightnovelhub.org/bookcover/300x400/01268-the-primal-hunter.jpg
Dimensional Descent,Ongoing,4.0 (147),"['Adventure', 'Fantasy', 'Martial Arts', 'Romance', 'Historical']",https://static.lightnovelhub.org/bookcover/300x400/01216-dimensional-descent.jpg
Hero of Darkness,Ongoing,4.0 (125),"['Action', 'Adventure', 'Comedy']",https://static.lightnovelhub.org/bookcover/300x400/01246-hero-of-darkness.jpg
Birth of the Demonic Sword,Completed,4.0 (112),"['Action', 'Adventure', 'Fantasy', 'Eastern Fantasy']",https://static.lightnovelhub.org/bookcover/300x400/00591-botds.jpg
I Fell into the Game with Instant Kill,Completed,4.0 (106),"['Action', 'Adventure', 'Fantasy', 'Comedy', 'Mystery']",https://static.lightnovelhub.org/bookcover/300x400/01496-i-fell-into-the-game-with-instant-kill.jpg
Blood Warlock: Succubus Partner in the Apocalypse,Ongoing,4.0 (103),"['Action', 'Adventure', 'Martial Arts', 'Romance', 'Supernatural']",https://static.lightnovelhub.org/bookcover/300x400/01161-blood-warlock-succubus-partner-in-the-apocalypse.jpg
The Bloodline System (Web Novel),Ongoing,4.0 (87),"['Action', 'Adventure', 'Fantasy', 'Romance', 'Sci-fi']",https://static.lightnovelhub.org/bookcover/300x400/01139-the-bloodline-system.jpg
Library of Heaven's Path,Completed,4.0 (68),"['Fantasy', 'Martial Arts', 'Xuanhuan', 'Comedy', 'Slice of Life']",https://static.lightnovelhub.org/bookcover/300x400/00064-library-of-heavens-path.jpg
Vampire's Slice Of Life,Ongoing,4.0 (59),"['Adventure', 'Fantasy', 'Harem', 'Romance', 'Slice of Life']",https://static.lightnovelhub.org/bookcover/300x400/01370-vampires-slice-of-life.jpg
Atticus’s Odyssey: Reincarnated Into A Playground,Ongoing,4.0 (56),"['Action', 'Adventure', 'Fantasy', 'Romance']",https://static.lightnovelhub.org/bookcover/300x400/01668-atticuss-odyssey-reincarnated-into-a-playground.jpg?v=31030147
Unparalleled After Ten Consecutive Draws,Ongoing,4.0 (54),"['Fantasy', 'Shounen']",https://static.lightnovelhub.org/bookcover/300x400/01123-unparalleled-after-ten-consecutive-draws.jpg
Supreme Magus (Web Novel),Ongoing,3.9 (242),['Fantasy'],https://static.lightnovelhub.org/bookcover/300x400/00384-supreme-magus-webnovel.jpg
My Three Wives Are Beautiful Vampires,Ongoing,3.9 (226),"['Action', 'Fantasy', 'Harem', 'Romance']",https://static.lightnovelhub.org/bookcover/300x400/01207-my-three-wives-are-beautiful-vampires.jpg
Why Should I Stop Being a Villain,Ongoing,3.9 (194),"['Action', 'Adventure', 'Fantasy', 'Romance']",https://static.lightnovelhub.org/bookcover/300x400/01613-why-should-i-stop-being-a-villain.jpg
The Great Demon System,Ongoing,3.9 (72),"['Action', 'Fantasy']",https://static.lightnovelhub.org/bookcover/300x400/01104-the-great-demon-system.jpg
